,Experiment,Plot,"Tree
 number","Height
a.s.l., m.","Temperature
sum, d.d.","Site index
H100","1=pine
2=spruce
3=birch

Tree
species","Stem
diameter",Height,"Age when tree died

Tree
age","Year
died","1=snag, less than 1/3 of tree height broken
2=snag, more than 1/3 of tree height broken, but standing part higher than 1.3.m


3=log, fallen with roots
4=log, broken below 1.3 m
5=log, man made
6=log, butt or other stem part left during logging


Appearance","when died

Original
stem
volume","Current
stem
volume","Original
wood
density","Current
wood
density","Original
stem
mass","Current
stem
mass","Decay
class",Var.20,cmass/omass,N_vector,E_vector
44,11,1,115,175,1069,26.3,1,16.4,18.48,57,1988,3,0.18726,0.1534,447.34030421,406.94129095,79.161653371,58.99143036,2,NA,0.745202100359501,62.48961,24.34658
45,11,2,16,175,1069,26.3,1,18.05,19.56,57,1988,3,0.24303,0.16717,446.94270928,379.9678054,102.64635987,60.025661037,2,NA,0.584781195485369,62.48961,24.34658
46,11,2,24,175,1069,26.3,1,11.9,16.7,57,1988,4,0.09159,0.0853,453.02447289,372.6121563,39.210423341,30.035707001,1,NA,0.766013331194857,62.48961,24.34658
47,11,2,31,175,1069,26.3,1,12.5,14.3,43,1974,3,0.0884,0.06036,423.39795815,369.41398866,35.369818628,21.071447796,2,NA,0.595746560580865,62.48961,24.34658
48,11,2,52,175,1069,26.3,1,10.5,12.92,43,1974,3,0.05707,0.03839,427.50382718,206.26223092,23.055773029,7.4828946575,3,NA,0.324556224945825,62.48961,24.34658
49,11,2,66,175,1069,26.3,1,13.85,14.42,43,1974,2,0.10961,0.06701,418.7850086,300.25266704,43.378358429,19.013335001,1,NA,0.438313843344724,62.48961,24.34658
50,11,2,67,175,1069,26.3,1,9.1,13.34,50,1981,4,0.04444,0.03582,446.11719438,276.1038961,18.735048472,9.3460892727,2,NA,0.498855889626758,62.48961,24.34658
51,11,2,90,175,1069,26.3,1,10.1,13.99,50,1981,4,0.05674,0.04444,444.61020146,234.09480297,23.839687775,9.8309985266,3,NA,0.412379500075059,62.48961,24.34658
52,11,2,95,175,1069,26.3,1,13.3,15.6,50,1981,3,0.1078,0.07844,439.93358099,78.89504604,44.816473829,5.8481584038,3,NA,0.130491265915163,62.48961,24.34658
53,11,2,96,175,1069,26.3,1,9.2,14.74,57,1988,3,0.0492,0.04059,457.88426712,224.41077441,21.288871115,8.6078475,2,NA,0.404335554172948,62.48961,24.34658
54,11,2,103,175,1069,26.3,1,16.75,19.09,57,1988,3,0.20475,0.17101,446.70432196,416.58011869,86.432260876,67.321200963,2,NA,0.778889737242698,62.48961,24.34658
55,11,2,107,175,1069,26.3,1,12.5,18.23,70,2001,1,0.10791,0.10691,467.98275276,413.79682997,47.722517814,41.805873042,1,NA,0.876019853037505,62.48961,24.34658
56,11,2,108,175,1069,26.3,1,10.45,15.73,57,1988,3,0.06716,0.05347,456.33971815,395.26315789,28.96214782,19.972311395,2,NA,0.689600492309068,62.48961,24.34658
57,11,2,116,175,1069,26.3,1,11.4,17.51,68,1999,1,0.08617,0.07983,467.84789743,391.29971591,38.097158389,29.519396223,1,NA,0.774845092686054,62.48961,24.34658
58,11,2,124,175,1069,26.3,1,7.9,13.55,57,1988,2,0.03302,0.03037,459.35234602,423.81443299,14.33358467,12.084057989,2,NA,0.843059030047924,62.48961,24.34658
59,11,2,137,175,1069,26.3,1,11.55,17.61,69,2000,1,0.08897,0.08797,468.2108363,435.53592009,39.36559861,36.206819672,1,NA,0.919757883798633,62.48961,24.34658
60,11,3,6,175,1069,26.3,1,25.9,21.6,67,1998,1,0.53465,0.26244,456.82440573,369.98733157,230.80790425,91.759004155,1,NA,0.397555726928706,62.48961,24.34658
61,11,3,28,175,1069,26.3,1,8.6,13.58,57,1988,3,0.03853,0.02606,459.76098042,389.51310861,16.740288094,9.5924224719,2,NA,0.573014181000749,62.48961,24.34658
62,11,3,42,175,1069,26.3,1,13.55,15.03,50,1981,4,0.10821,0.02846,447.06165772,219.62360561,45.715832173,5.9067109858,2,NA,0.129204931968591,62.48961,24.34658
63,11,3,60,175,1069,26.3,1,15.3,17.85,57,1988,3,0.16087,0.14456,448.13655547,297.85683669,68.126682656,40.689984175,2,NA,0.597269419097664,62.48961,24.34658
64,11,3,64,175,1069,26.3,1,11.15,15.57,57,1988,3,0.07648,0.05582,455.69094147,346.23467601,32.934424827,18.263844536,2,NA,0.5545517989744,62.48961,24.34658
